periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Shrawan 2080,410 PARBAT,192
Shrawan 2080,202 SIRAHA,959
Shrawan 2080,106 BHOJPUR,101
Shrawan 2080,504 GULMI,363
Shrawan 2080,407 TANAHU,294
Shrawan 2080,602 MUGU,46
Shrawan 2080,309 KAVREPALANCHOK,326
Shrawan 2080,505 ARGHAKHANCHI,201
Shrawan 2080,508 RUPANDEHI,"1,057"
Shrawan 2080,511 BANKE,757
Shrawan 2080,501 RUKUM EAST,257
Shrawan 2080,709 KANCHANPUR,642
Shrawan 2080,702 BAJHANG,419
Shrawan 2080,507 NAWALPARASI WEST,554
Shrawan 2080,113 SUNSARI,377
Shrawan 2080,306 KATHMANDU,"1,076"
Shrawan 2080,510 DANG,541
Shrawan 2080,105 KHOTANG,111
Shrawan 2080,405 KASKI,"1,175"
Shrawan 2080,203 DHANUSA,"1,086"
Shrawan 2080,310 RAMECHHAP,106
Shrawan 2080,111 JHAPA,979
Shrawan 2080,102 SANKHUWASABHA,338
Shrawan 2080,110 ILAM,25
Shrawan 2080,208 PARSA,640
Shrawan 2080,302 SINDHUPALCHOK,134
Shrawan 2080,403 MUSTANG,4
Shrawan 2080,408 NAWALPARASI EAST,245
Shrawan 2080,109 PANCHTHAR,142
Shrawan 2080,304 DHADING,329
Shrawan 2080,703 DARCHULA,134
Shrawan 2080,406 LAMJUNG,126
Shrawan 2080,503 PYUTHAN,334
Shrawan 2080,506 PALPA,464
Shrawan 2080,512 BARDIYA,573
Shrawan 2080,207 BARA,693
Shrawan 2080,705 DADELDHURA,315
Shrawan 2080,301 DOLAKHA,131
Shrawan 2080,313 CHITWAN,601
Shrawan 2080,205 SARLAHI,"1,387"
Shrawan 2080,103 SOLUKHUMBU,36
Shrawan 2080,609 SALYAN,677
Shrawan 2080,201 SAPTARI,523
Shrawan 2080,108 TERHATHUM,194
Shrawan 2080,401 GORKHA,297
Shrawan 2080,104 OKHALDHUNGA,110
Shrawan 2080,114 UDAYAPUR,613
Shrawan 2080,706 DOTI,442
Shrawan 2080,311 SINDHULI,410
Shrawan 2080,409 SYANGJA,453
Shrawan 2080,701 BAJURA,305
Shrawan 2080,404 MYAGDI,14
Shrawan 2080,112 MORANG,"1,109"
Shrawan 2080,206 RAUTAHAT,"1,418"
Shrawan 2080,607 JAJARKOT,336
Shrawan 2080,312 MAKWANPUR,279
Shrawan 2080,502 ROLPA,655
Shrawan 2080,107 DHANKUTA,123
Shrawan 2080,608 RUKUM WEST,546
Shrawan 2080,305 NUWAKOT,180
Shrawan 2080,303 RASUWA,22
Shrawan 2080,704 BAITADI,114
Shrawan 2080,604 JUMLA,138
Shrawan 2080,707 ACHHAM,218
Shrawan 2080,204 MAHOTTARI,"1,129"
Shrawan 2080,308 LALITPUR,144
Shrawan 2080,402 MANANG,3
Shrawan 2080,601 DOLPA,70
Shrawan 2080,307 BHAKTAPUR,103
Shrawan 2080,610 SURKHET,"1,555"
Shrawan 2080,101 TAPLEJUNG,153
Shrawan 2080,509 KAPILBASTU,646
Shrawan 2080,708 KAILALI,"1,266"
Shrawan 2080,605 KALIKOT,127
Shrawan 2080,411 BAGLUNG,511
Shrawan 2080,606 DAILEKH,465
Shrawan 2080,603 HUMLA,36